,Richmond,El_Cerrito_Norte,El_Cerrito_Plaza,North_Berkeley,Berkeley,Ashby,MacArthur,19_TH,12_TH,Lake_Merritt,Fruitvale,Coliseum,San_Leandro,Bayfair,Hayward,South_Hayward,Union_City,Fremont,Concord,Pleasant_Hill,Walnut_Creek,Lafayette,Orinda,Rockridge,West_Oakland,Embarcadero,Montgomery_Stree,Powell_Street,Civic_Center,16_th,24_TH,Glen_Park,Balboa_Park,Daly_City,Colma,Castro_Valley,Dublin,North_Concord,Pittsburg,South_SF,San_Bruno,SFO,Millbrae,West_Dublin,Oakland_Air,Warm_Springs,Pittsburgh_Center,Antioch
Coliseum,95.31578947,166.4736842,67.89473684,64.26315789,216.2105263,91.31578947,178.9473684,218.8947368,316.6315789,293.5263158,277.3157895,26.52631579,218.2105263,223.2105263,191.7368421,101.4210526,134,180.3157895,83.89473684,72.42105263,69.21052632,35.52631579,35.42105263,57.26315789,99.57894737,647.1578947,621.6842105,568.4210526,459.5789474,166.8947368,144.2105263,70.47368421,90.36842105,163.8947368,17.57894737,93.73684211,312.2631579,23.52631579,55.10526316,23.84210526,28.73684211,44.78947368,35.10526316,123.4210526,48.05263158,180.3157895,31.15789474,51.73684211
West_Oakland,26.15789474,38.10526316,10.63157895,13,70.10526316,22.15789474,46.89473684,63.57894737,105.2105263,27.10526316,102.8947368,107.4210526,36.84210526,40.94736842,35,15.78947368,13.15789474,13.84210526,13.36842105,12.26315789,14.26315789,4.368421053,4.157894737,20.26315789,23.57894737,1877.894737,1600.578947,1084.421053,913.7894737,367.8421053,221.5789474,64.31578947,84.68421053,77.84210526,14.15789474,13.36842105,29.84210526,5.684210526,11.68421053,17.05263158,26.89473684,108.6315789,37.26315789,7.578947368,11.42105263,14.15789474,8,16.10526316
Glen_Park,38.57894737,76.57894737,28.10526316,27.73684211,137.8421053,34.73684211,74.84210526,163.6842105,174.4210526,61.84210526,68.57894737,68.47368421,50.31578947,31.78947368,31.26315789,14.52631579,9.526315789,19.10526316,41.94736842,47.31578947,45,16.73684211,19.31578947,42.52631579,73.57894737,1165,1430.842105,1231.315789,712.7368421,319.7894737,260.3684211,25.21052632,145.9473684,68.42105263,48.94736842,19.21052632,66.84210526,18.52631579,40.36842105,38.78947368,62.26315789,116.2631579,139.3157895,24.42105263,18.31578947,12.68421053,12.47368421,33.94736842
Walnut_Creek,25.42105263,34.26315789,26.21052632,25.26315789,146.7894737,24.36842105,151.3684211,339.9473684,326.3684211,26.73684211,35.57894737,66.47368421,28.68421053,15.42105263,19.94736842,11.57894737,18.68421053,23.84210526,273.1052632,131.1578947,30.21052632,66.57894737,44.31578947,158.5263158,17.26315789,1431.473684,1452.947368,553.5789474,492.2631579,117.8947368,67.84210526,55.31578947,51.52631579,75.47368421,17.57894737,4.263157895,5.789473684,63.94736842,135,22.10526316,25.21052632,180.1052632,28.31578947,3.263157895,48.52631579,7.578947368,57.84210526,90.63157895
Fremont,29.78947368,66.68421053,36.10526316,30.78947368,211.0526316,34.68421053,109.5263158,321.4210526,317,131.4210526,130.0526316,179.3157895,142.4210526,174.1052632,310.0526316,198.7894737,300.2105263,45.57894737,25.10526316,21.42105263,20.68421053,6.157894737,11.26315789,20.73684211,15.05263158,1407.210526,1231.052632,487.8421053,374.8421053,117,33.94736842,23.47368421,34.05263158,82.26315789,7.157894737,31.63157895,69.73684211,7.315789474,17.52631579,6.789473684,9.684210526,40.36842105,4.526315789,31.42105263,28.36842105,43.63157895,4.789473684,13.84210526
San_Leandro,36.57894737,63.94736842,31.10526316,34.52631579,191.8947368,54.15789474,132.2631579,254.1578947,360.3684211,352.8947368,247.8421053,231.9473684,18.42105263,129.8947368,159.5263158,77.21052632,90.26315789,133.1052632,30.84210526,27.73684211,27.21052632,8.052631579,10.84210526,23.57894737,39.42105263,781.3157895,885.6842105,644.4210526,544.5263158,177.2631579,109.3157895,58.73684211,91.52631579,134.8421053,11.10526316,41.47368421,115,10.78947368,19.78947368,14.84210526,13.89473684,49.63157895,12.42105263,49.84210526,10.94736842,65.57894737,10.42105263,14.73684211
Millbrae,28.21052632,68.84210526,30.68421053,37.47368421,152.6842105,35.89473684,62.42105263,123.6315789,141.0526316,19.52631579,28.15789474,28.36842105,11.94736842,10.05263158,7.894736842,4.368421053,3.210526316,3.842105263,28.63157895,24.10526316,22.94736842,10.26315789,9.684210526,23.68421053,39.47368421,1086.842105,1431.947368,724.2631579,581.5789474,226.2105263,193.4736842,121.6842105,181.2105263,317.8947368,85.31578947,3.421052632,19.52631579,7.263157895,24.21052632,72.73684211,37.26315789,239.8421053,46.78947368,8.473684211,6.736842105,1.947368421,6.052631579,18.10526316
SFO,62.26315789,116.4210526,74.84210526,90.42105263,132.5789474,61.94736842,118.3157895,107.1578947,135.4210526,44.84210526,65.89473684,41.57894737,46.21052632,27.63157895,21.84210526,14.94736842,22.21052632,32.05263158,153.1052632,190.2105263,182.5263158,101.6842105,91.52631579,138.3684211,142.1578947,454.5263158,484.7368421,936.2105263,415.4210526,173.6842105,149.8947368,98.10526316,120,199.4210526,137.3157895,21.63157895,124.0526316,66.10526316,138.7368421,56.36842105,58.10526316,45.89473684,203.5263158,35.31578947,17.26315789,14.42105263,19.84210526,94.63157895
Concord,20.15789474,29.42105263,20.89473684,23.63157895,116.5263158,24.73684211,159.6842105,308.5263158,327.1578947,37.63157895,52.68421053,76.15789474,30.78947368,22.26315789,40.89473684,8.526315789,16.15789474,27.26315789,29.21052632,107.2105263,253.4736842,93,52.31578947,104.7368421,15.05263158,892,913.7368421,537.2631579,474.6315789,154.5263158,89.63157895,52.21052632,66.05263158,133.1578947,27.05263158,5.263157895,10.73684211,48.26315789,168.6315789,25.15789474,24.15789474,143.2631579,34.42105263,3.473684211,37,11.31578947,97.31578947,106.0526316
Rockridge,27.26315789,36.31578947,26.84210526,20.68421053,47.84210526,15.84210526,58.63157895,192.5263158,177.0526316,31.94736842,46.31578947,51.68421053,22.84210526,9.368421053,18.26315789,10.15789474,17.57894737,21.89473684,96.89473684,136.6315789,150.1578947,71.15789474,78.31578947,22.21052632,19.36842105,1110.789474,1196.684211,571.8421053,648.2105263,221.3157895,113.4736842,50.89473684,61.10526316,45.68421053,5.578947368,4.736842105,10.84210526,21.89473684,36.05263158,11.31578947,15.36842105,136.7368421,26.15789474,5.421052632,19.47368421,9.052631579,20.78947368,35.26315789
