geoid,geoid20,year,denom_workingage_civ_noninst_pop,laborforce_count,laborforce_pct,denom_labor_force,unemployed_count,unemployed_pct
1400000US06037120010,120010,2021,2081,1501,72.128784,1501,145,9.6602268
1400000US06037120020,120020,2021,3158,2457,77.802406,2457,348,14.163614
1400000US06037120030,120030,2021,1862,1288,69.172935,1288,146,11.335403
1400000US06037120103,120103,2021,2059,1496,72.656631,1496,164,10.962566
1400000US06037120104,120104,2021,1853,1139,61.467892,1139,81,7.1115012
1400000US06037120105,120105,2021,2153,1428,66.326057,1428,93,6.5126052
1400000US06037120106,120106,2021,3427,2322,67.756058,2322,390,16.795866
1400000US06037120107,120107,2021,2938,1996,67.93737,1996,277,13.877755
1400000US06037120108,120108,2021,3600,2652,73.666664,2652,209,7.8808446
1400000US06037120300,120300,2021,3935,2602,66.124527,2602,268,10.299769
1400000US06037120400,120400,2021,4924,3439,69.841591,3439,356,10.351847
1400000US06037121010,121010,2021,4283,2912,67.989723,2912,200,6.8681316
1400000US06037121020,121020,2021,2935,2019,68.790459,2019,181,8.9648342
1400000US06037121101,121101,2021,2658,1724,64.860794,1724,131,7.598608
1400000US06037121102,121102,2021,1845,1107,60,1107,63,5.6910567
1400000US06037121210,121210,2021,2570,1327,51.634243,1327,77,5.8025622
1400000US06037121221,121221,2021,1979,1286,64.982315,1286,53,4.1213064
1400000US06037121222,121222,2021,3996,2552,63.863865,2552,133,5.2115989
1400000US06037121600,121600,2021,2261,1394,61.654137,1394,113,8.1061697
1400000US06037121801,121801,2021,2630,1787,67.94677,1787,211,11.807499
1400000US06037121802,121802,2021,2438,1320,54.142738,1320,127,9.621212
1400000US06037121900,121900,2021,2839,1766,62.205002,1766,154,8.7202721
1400000US06037122000,122000,2021,4091,2520,61.598633,2520,199,7.8968253
1400000US06037122120,122120,2021,4184,2523,60.301147,2523,199,7.8874354
1400000US06037122121,122121,2021,2140,1339,62.570095,1339,72,5.3771472
1400000US06037122122,122122,2021,1877,1129,60.149174,1129,38,3.3658104
1400000US06037122200,122200,2021,2880,1800,62.5,1800,48,2.6666667
1400000US06037122410,122410,2021,2946,2015,68.397827,2015,108,5.3598013
1400000US06037122420,122420,2021,4127,2596,62.902836,2596,89,3.4283514
1400000US06037123010,123010,2021,3166,1773,56.001263,1773,68,3.8353074
1400000US06037123020,123020,2021,2444,1703,69.680855,1703,110,6.4591899
1400000US06037123103,123103,2021,3357,2582,76.91391,2582,211,8.1719599
1400000US06037123104,123104,2021,3687,2629,71.304581,2629,111,4.2221379
1400000US06037123203,123203,2021,2441,1432,58.664482,1432,52,3.631285
1400000US06037123204,123204,2021,2824,2066,73.158638,2066,352,17.037754
1400000US06037123205,123205,2021,2230,1391,62.376682,1391,169,12.149532
1400000US06037123206,123206,2021,1912,1218,63.70293,1218,189,15.517241
1400000US06037123301,123301,2021,3690,2587,70.108398,2587,111,4.2906842
1400000US06037123303,123303,2021,2534,1606,63.378059,1606,163,10.14944
1400000US06037123304,123304,2021,3748,1947,51.947704,1947,137,7.0364661
1400000US06037123410,123410,2021,3046,2090,68.614578,2090,169,8.0861244
1400000US06037123420,123420,2021,3891,2830,72.731949,2830,244,8.6219082
1400000US06037123510,123510,2021,4058,2681,66.067032,2681,251,9.3621778
1400000US06037123520,123520,2021,2195,1425,64.920273,1425,219,15.368421
1400000US06037123601,123601,2021,3959,2686,67.845413,2686,207,7.7066269
1400000US06037123602,123602,2021,2792,1710,61.246418,1710,100,5.8479533
1400000US06037123700,123700,2021,3858,2573,66.692589,2573,73,2.8371551
1400000US06037123800,123800,2021,5000,3285,65.699997,3285,219,6.6666665
1400000US06037123901,123901,2021,3267,2127,65.105598,2127,107,5.0305595
1400000US06037123902,123902,2021,2171,1644,75.725471,1644,214,13.017032
1400000US06037124000,124000,2021,4103,2654,64.68438,2654,144,5.4257722
1400000US06037124102,124102,2021,2915,2165,74.271011,2165,211,9.7459583
1400000US06037124103,124103,2021,1528,1008,65.96859,1008,92,9.1269846
1400000US06037124104,124104,2021,2167,1584,73.096443,1584,133,8.3964643
1400000US06037124105,124105,2021,1894,1325,69.957764,1325,78,5.8867927
1400000US06037124201,124201,2021,2997,1987,66.299629,1987,134,6.743835
1400000US06037124203,124203,2021,1803,1127,62.506931,1127,78,6.9210291
1400000US06037124204,124204,2021,1704,1177,69.072769,1177,108,9.1758709
1400000US06037124300,124300,2021,2568,1444,56.23053,1444,69,4.7783933
1400000US06037124400,124400,2021,3898,2886,74.037971,2886,178,6.167706
1400000US06037124500,124500,2021,2435,1777,72.977409,1777,45,2.5323579
1400000US06037124600,124600,2021,2383,1678,70.415443,1678,119,7.0917759
1400000US06037124700,124700,2021,4730,3355,70.930229,3355,340,10.134129
1400000US06037124902,124902,2021,2766,1974,71.366592,1974,217,10.992908
1400000US06037124903,124903,2021,3276,2517,76.831505,2517,224,8.8994837
1400000US06037125101,125101,2021,3571,2748,76.953232,2748,257,9.3522558
1400000US06037125102,125102,2021,1468,1242,84.604904,1242,62,4.9919486
1400000US06037125200,125200,2021,2986,2352,78.767586,2352,333,14.158163
1400000US06037125310,125310,2021,3125,2158,69.056,2158,114,5.2826691
1400000US06037125321,125321,2021,2495,1601,64.168335,1601,49,3.0605872
1400000US06037125322,125322,2021,1979,1324,66.902473,1324,108,8.1570997
1400000US06037125402,125402,2021,4095,3116,76.092796,3116,346,11.103979
1400000US06037125403,125403,2021,2277,1933,84.892403,1933,139,7.1908951
1400000US06037125404,125404,2021,2636,2002,75.94841,2002,246,12.287712
1400000US06037125501,125501,2021,2601,2031,78.08535,2031,185,9.1088133
1400000US06037125502,125502,2021,3459,2722,78.69326,2722,357,13.115356
1400000US06037125600,125600,2021,2470,1696,68.663971,1696,133,7.8419809
1400000US06037127102,127102,2021,4035,3061,75.861214,3061,241,7.8732438
1400000US06037127103,127103,2021,2589,1888,72.923912,1888,53,2.8072033
1400000US06037127104,127104,2021,3116,2294,73.620026,2294,209,9.1107235
1400000US06037127210,127210,2021,4805,3510,73.048904,3510,246,7.0085468
1400000US06037127220,127220,2021,4095,2848,69.548233,2848,237,8.3216295
1400000US06037127300,127300,2021,3176,2208,69.521408,2208,136,6.1594205
1400000US06037127400,127400,2021,4862,3496,71.904564,3496,213,6.0926771
1400000US06037127520,127520,2021,3560,2567,72.106743,2567,204,7.9470201
1400000US06037127603,127603,2021,2151,1513,70.339378,1513,166,10.97158
1400000US06037127604,127604,2021,2707,1688,62.356853,1688,81,4.7985783
1400000US06037127605,127605,2021,2849,1897,66.58477,1897,108,5.6931996
1400000US06037127606,127606,2021,2639,1698,64.342552,1698,62,3.6513546
1400000US06037127711,127711,2021,2599,1718,66.102348,1718,181,10.535506
1400000US06037127712,127712,2021,2879,2077,72.143105,2077,123,5.9220028
1400000US06037127803,127803,2021,4000,2541,63.525002,2541,161,6.3360882
1400000US06037127804,127804,2021,3957,2917,73.717461,2917,203,6.9592047
1400000US06037127805,127805,2021,2930,1829,62.423206,1829,115,6.2875891
1400000US06037127806,127806,2021,2506,1876,74.860336,1876,93,4.957356
1400000US06037127910,127910,2021,3682,2413,65.535034,2413,222,9.2001657
1400000US06037127920,127920,2021,3909,2916,74.597084,2916,295,10.116598
1400000US06037128101,128101,2021,2515,1699,67.554672,1699,98,5.7680988
1400000US06037128102,128102,2021,3958,2782,70.288025,2782,118,4.2415528
1400000US06037128210,128210,2021,4029,2829,70.215935,2829,314,11.099328
1400000US06037128220,128220,2021,2364,1523,64.424706,1523,55,3.6112936
1400000US06037128302,128302,2021,3787,2637,69.632957,2637,135,5.1194539
1400000US06037128303,128303,2021,2868,2048,71.408646,2048,148,7.2265625
1400000US06037128400,128400,2021,3703,2870,77.504723,2870,84,2.9268293
1400000US06037128500,128500,2021,3520,2607,74.0625,2607,140,5.3701572
1400000US06037128601,128601,2021,3775,2728,72.2649,2728,261,9.5674486
1400000US06037128602,128602,2021,2407,1759,73.078522,1759,153,8.6981239
1400000US06037128703,128703,2021,2795,2293,82.039352,2293,522,22.764936
1400000US06037128704,128704,2021,1939,1385,71.428574,1385,68,4.9097471
1400000US06037128801,128801,2021,3475,2719,78.244606,2719,258,9.4887829
1400000US06037128802,128802,2021,3615,2571,71.120331,2571,82,3.1894205
1400000US06037128910,128910,2021,3739,2846,76.116608,2846,273,9.5924101
1400000US06037131021,131021,2021,2602,1778,68.332054,1778,96,5.3993249
1400000US06037131022,131022,2021,2380,1720,72.268906,1720,92,5.3488374
1400000US06037131023,131023,2021,2346,1566,66.751915,1566,67,4.2784162
1400000US06037131024,131024,2021,3283,2262,68.900398,2262,214,9.4606543
1400000US06037131100,131100,2021,2777,1987,71.552032,1987,189,9.5118265
1400000US06037131200,131200,2021,2767,1705,61.619083,1705,57,3.3431084
1400000US06037131300,131300,2021,3416,2285,66.891098,2285,78,3.4135668
1400000US06037131400,131400,2021,5180,3338,64.440155,3338,155,4.6434989
1400000US06037131600,131600,2021,4046,2517,62.209591,2517,291,11.561382
1400000US06037131701,131701,2021,4381,2949,67.3134,2949,213,7.2227874
1400000US06037131702,131702,2021,3117,2129,68.302856,2129,158,7.4213247
1400000US06037131801,131801,2021,2338,1681,71.899055,1681,98,5.8298631
1400000US06037131802,131802,2021,2175,1643,75.54023,1643,26,1.5824711
1400000US06037131900,131900,2021,3822,2594,67.870224,2594,235,9.0593681
1400000US06037132001,132001,2021,2665,1772,66.491554,1772,54,3.0474041
1400000US06037132002,132002,2021,2649,2109,79.614952,2109,75,3.5561879
1400000US06037132101,132101,2021,3371,2343,69.504601,2343,182,7.7678189
1400000US06037132102,132102,2021,4426,3216,72.661545,3216,249,7.7425375
1400000US06037132301,132301,2021,3409,2507,73.540627,2507,109,4.347826
1400000US06037132302,132302,2021,2813,2157,76.679703,2157,104,4.8215113
1400000US06037132501,132501,2021,3897,2516,64.562485,2516,182,7.2337041
1400000US06037132502,132502,2021,2605,1355,52.015354,1355,201,14.833948
1400000US06037132700,132700,2021,3774,2718,72.019081,2718,156,5.7395144
1400000US06037132900,132900,2021,3095,1898,61.324718,1898,66,3.4773445
1400000US06037133000,133000,2021,3666,2391,65.220947,2391,236,9.870347
1400000US06037133101,133101,2021,1360,851,62.573528,851,33,3.8777909
1400000US06037133102,133102,2021,3042,1646,54.109138,1646,70,4.2527337
1400000US06037134001,134001,2021,3032,2273,74.967018,2273,155,6.8191819
1400000US06037134002,134002,2021,3104,2130,68.621132,2130,138,6.4788733
1400000US06037134101,134101,2021,3996,2583,64.639641,2583,187,7.2396441
1400000US06037134103,134103,2021,3570,2168,60.728291,2168,120,5.5350552
1400000US06037134104,134104,2021,3436,2424,70.54715,2424,232,9.5709572
1400000US06037134201,134201,2021,3806,2781,73.06884,2781,202,7.2635741
1400000US06037134302,134302,2021,3503,2215,63.231514,2215,110,4.9661398
1400000US06037134303,134303,2021,4751,3229,67.964638,3229,340,10.529575
1400000US06037134304,134304,2021,2381,1432,60.142796,1432,141,9.8463688
1400000US06037134305,134305,2021,2861,2145,74.973785,2145,96,4.4755244
1400000US06037134306,134306,2021,3528,2166,61.394558,2166,157,7.248384
1400000US06037134421,134421,2021,3711,2505,67.502022,2505,213,8.5029936
1400000US06037134422,134422,2021,3856,2425,62.889004,2425,165,6.8041239
1400000US06037134423,134423,2021,2951,1599,54.18502,1599,87,5.4409003
1400000US06037134424,134424,2021,2412,1550,64.262024,1550,106,6.8387098
1400000US06037134520,134520,2021,4190,3014,71.933174,3014,179,5.9389515
1400000US06037134521,134521,2021,2200,1659,75.409088,1659,97,5.8468957
1400000US06037134522,134522,2021,3591,2526,70.342522,2526,116,4.5922408
1400000US06037134710,134710,2021,4135,2750,66.50544,2750,134,4.8727274
1400000US06037134720,134720,2021,4320,3189,73.819443,3189,236,7.4004388
1400000US06037134801,134801,2021,2623,1656,63.133816,1656,111,6.7028985
1400000US06037134802,134802,2021,2434,1519,62.407558,1519,97,6.3857803
1400000US06037134901,134901,2021,2164,1511,69.824402,1511,156,10.324288
1400000US06037134904,134904,2021,4042,3052,75.507172,3052,381,12.483617
1400000US06037134905,134905,2021,4732,3670,77.55706,3670,214,5.8310628
1400000US06037134906,134906,2021,2621,2049,78.17627,2049,160,7.8086872
1400000US06037134907,134907,2021,2900,2364,81.517242,2364,347,14.678511
1400000US06037135102,135102,2021,3043,2065,67.860664,2065,35,1.6949153
1400000US06037135111,135111,2021,3008,2067,68.716759,2067,121,5.8538947
1400000US06037135113,135113,2021,2807,2114,75.311722,2114,120,5.6764426
1400000US06037135115,135115,2021,2640,1954,74.015152,1954,206,10.542477
1400000US06037135116,135116,2021,1319,923,69.977257,923,200,21.668472
1400000US06037135201,135201,2021,2208,1481,67.074272,1481,218,14.719784
1400000US06037135202,135202,2021,3292,2219,67.40583,2219,235,10.590356
1400000US06037135204,135204,2021,3928,2619,66.675156,2619,276,10.538373
1400000US06037135205,135205,2021,1611,1001,62.135319,1001,138,13.786214
1400000US06037137000,137000,2021,4224,2299,54.427082,2299,209,9.090909
1400000US06037137103,137103,2021,4774,3084,64.599915,3084,190,6.16083
1400000US06037137104,137104,2021,2031,1288,63.417034,1288,61,4.7360249
1400000US06037137202,137202,2021,2816,2139,75.958809,2139,294,13.74474
1400000US06037137203,137203,2021,2150,1326,61.674419,1326,119,8.9743586
1400000US06037137301,137301,2021,1808,1137,62.887169,1137,67,5.8927002
1400000US06037137302,137302,2021,3615,2164,59.861687,2164,169,7.8096118
1400000US06037137401,137401,2021,3494,2464,70.520889,2464,102,4.1396103
1400000US06037137402,137402,2021,4269,2875,67.345985,2875,246,8.5565214
1400000US06037137501,137501,2021,3976,2781,69.944672,2781,299,10.751528
1400000US06037137502,137502,2021,3452,2476,71.726532,2476,119,4.806139
1400000US06037137504,137504,2021,1561,976,62.524025,976,38,3.8934426
1400000US06037138000,138000,2021,3855,2655,68.871597,2655,183,6.8926554
1400000US06037139001,139001,2021,4369,3164,72.419319,3164,235,7.4273071
1400000US06037139200,139200,2021,4868,3116,64.009857,3116,237,7.6059051
1400000US06037139301,139301,2021,3535,2429,68.712868,2429,219,9.0160561
1400000US06037139302,139302,2021,3952,2862,72.419029,2862,270,9.4339619
1400000US06037139303,139303,2021,3904,2445,62.628075,2445,151,6.175869
1400000US06037139401,139401,2021,2173,1474,67.832489,1474,29,1.9674356
1400000US06037139402,139402,2021,2305,1460,63.340565,1460,71,4.8630137
1400000US06037139502,139502,2021,2341,1633,69.756516,1633,132,8.0832825
1400000US06037139504,139504,2021,3171,2167,68.338066,2167,235,10.844485
1400000US06037139505,139505,2021,2278,1613,70.807724,1613,235,14.569126
1400000US06037139506,139506,2021,2441,1599,65.505943,1599,70,4.3777361
1400000US06037139600,139600,2021,4126,2448,59.33107,2448,285,11.642157
1400000US06037139701,139701,2021,4772,2695,56.475273,2695,253,9.3877554
1400000US06037139703,139703,2021,1964,1054,53.665989,1054,57,5.4079695
1400000US06037139704,139704,2021,1930,1187,61.50259,1187,74,6.2342038
1400000US06037139705,139705,2021,3072,1899,61.816406,1899,94,4.9499736
1400000US06037139801,139801,2021,2823,1874,66.383278,1874,181,9.6584845
1400000US06037139802,139802,2021,3094,1653,53.425987,1653,91,5.5051422
1400000US06037141101,141101,2021,3670,2949,80.354225,2949,265,8.9860973
1400000US06037141102,141102,2021,2500,1984,79.360001,1984,274,13.810484
1400000US06037141201,141201,2021,3548,2946,83.032692,2946,193,6.5512557
1400000US06037141202,141202,2021,2591,1799,69.432648,1799,106,5.8921623
1400000US06037141303,141303,2021,2967,2370,79.878662,2370,164,6.9198313
1400000US06037141304,141304,2021,2677,2206,82.405678,2206,112,5.0770626
1400000US06037141305,141305,2021,2220,1702,76.666664,1702,109,6.4042301
1400000US06037141306,141306,2021,2782,2323,83.501076,2323,304,13.086526
1400000US06037141400,141400,2021,4001,2521,63.009247,2521,121,4.7996826
1400000US06037141500,141500,2021,2521,1366,54.184849,1366,45,3.2942898
1400000US06037141600,141600,2021,3526,2650,75.155983,2650,149,5.6226416
1400000US06037141700,141700,2021,2559,1862,72.762794,1862,258,13.856069
